osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1742885,152,10200,Angol,AR,,3608,angol,CL-AR-Angol,,
1742431,152,9600,Carahue,AR,,3736,carahue,CL-AR-Carahue,,
1767500,152,12100,Cholchol,AR,,3785,cholchol,CL-AR-Cholchol,,
1736040,152,9500,Collipulli,AR,,3843,collipulli,CL-AR-Collipulli,,
1735940,152,8700,Cunco,AR,,3878,cunco,CL-AR-Cunco,,
1736036,152,9400,Curacautín,AR,,3880,curacautin,CL-AR-Curacautin,,
1734789,152,8500,Curarrehue,AR,,13025,curarrehue,CL-AR-Curarrehue,,
1766964,152,11100,Ercilla,AR,,13044,ercilla,CL-AR-Ercilla,,
1767496,152,12000,Freire,AR,,13049,freire,CL-AR-Freire,,
1767319,152,11700,Galvarino,AR,,13063,galvarino,CL-AR-Galvarino,,
1769301,152,12700,Gorbea,AR,,13067,gorbea,CL-AR-Gorbea,,
1767210,152,11500,Lautaro,AR,,14486,lautaro,CL-AR-Lautaro,,
1768852,152,12500,Loncoche,AR,,16900,loncoche,CL-AR-Loncoche,,
1736001,152,9000,Lonquimay,AR,,16902,lonquimay,CL-AR-Lonquimay,,
1763067,152,11000,"Los Sauces",AR,,16907,los.sauces,CL-AR-LosSauces,,
1742570,152,9700,Lumaco,AR,,16914,lumaco,CL-AR-Lumaco,,
1735968,152,8800,Melipeuco,AR,,49076,melipeuco,CL-AR-Melipeuco,,
1768732,152,12200,"Nueva Imperial",AR,,51050,nueva.imperial,CL-AR-NuevaImperial,,
1768743,152,12300,"Padre Las Casas",AR,,51063,padre.casas,CL-AR-PadreCasas,,
1766982,152,11300,Perquenco,AR,,15076,perquenco,CL-AR-Perquenco,,
1768825,152,12400,Pitrufquén,AR,,51115,pitrufquen,CL-AR-Pitrufquen,,
1734577,152,8400,Pucón,AR,,51590,pucon,CL-AR-Pucon,,
1742662,152,10100,Purén,AR,,51602,puren,CL-AR-Puren,,
1742919,152,10900,Renaico,AR,,56118,renaico,CL-AR-Renaico,,
1767375,152,11800,Saavedra,AR,,56132,saavedra,CL-AR-Saavedra,,
1767300,152,11600,Temuco,AR,,82128,temuco,CL-AR-Temuco,,
1767428,152,11900,"Teodoro Schmidt",AR,,188135,teodoro.schmidt,CL-AR-TeodoroSchmidt,,
1769297,152,12600,Toltén,AR,,200926,tolten,CL-AR-Tolten,,
1766983,152,11400,Traiguén,AR,,200961,traiguen,CL-AR-Traiguen,,
1766981,152,11200,Victoria,AR,,200999,victoria,CL-AR-Victoria,,
1736000,152,8900,Vilcún,AR,,1643896,vilcun,CL-AR-Vilcun,,
1734921,152,8600,Villarrica,AR,,201019,villarrica,CL-AR-Villarrica,,
