osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1659038,152,31100,"Alto Biobío",BI,,2213,alto.biobio,CL-BI-AltoBiobio,,
1652379,152,29500,Antuco,BI,,3619,antuco,CL-BI-Antuco,,
1654884,152,29700,Arauco,BI,,3632,arauco,CL-BI-Arauco,,
1652181,152,29400,Cabrero,BI,,3678,cabrero,CL-BI-Cabrero,,
1656043,152,30200,Cañete,BI,,3753,canete,CL-BI-Canete,,
1622086,152,27600,Chiguayante,BI,,3765,chiguayante,CL-BI-Chiguayante,,
1620105,152,27400,Concepción,BI,,1880,concepcion,CL-BI-Concepcion,,
1656148,152,30400,Contulmo,BI,,3864,contulmo,CL-BI-Contulmo,,
1622313,152,28100,Coronel,BI,,3873,coronel,CL-BI-Coronel,,
1655930,152,30000,Curanilahue,BI,,3892,curanilahue,CL-BI-Curanilahue,,
1622109,152,27700,Florida,BI,,13048,florida,CL-BI-Florida,,
1614641,152,27200,Hualpén,BI,,13077,hualpen,CL-BI-Hualpen,,
1620107,152,27500,Hualqui,BI,,13079,hualqui,CL-BI-Hualqui,,
1632644,152,29100,Laja,BI,,14475,laja,CL-BI-Laja,,
1654913,152,29900,Lebu,BI,,14488,lebu,CL-BI-Lebu,,
1656036,152,30100,"Los Álamos",BI,,16909,los.alamos,CL-BI-LosAlamos,,
1658515,152,30500,"Los Ángeles",BI,,16910,los.angeles,CL-BI-LosAngeles,,
1654885,152,29800,Lota,BI,,16911,lota,CL-BI-Lota,,
1658516,152,30600,Mulchén,BI,,51036,mulchen,CL-BI-Mulchen,,
1632643,152,29000,Nacimiento,BI,,51039,nacimiento,CL-BI-Nacimiento,,
1658517,152,30700,Negrete,BI,,51046,negrete,CL-BI-Negrete,,
1614637,152,27000,Penco,BI,,51093,penco,CL-BI-Penco,,
1659044,152,31200,Quilaco,BI,,51610,quilaco,CL-BI-Quilaco,,
1659035,152,30900,Quilleco,BI,,56107,quilleco,CL-BI-Quilleco,,
1622326,152,28200,"San Pedro de la Paz",BI,,19344,san.pedro.la.paz,CL-BI-SanPedroLaPaz,,
1622253,152,27900,"San Rosendo",BI,,22137,san.rosendo,CL-BI-SanRosendo,,
1659037,152,31000,"Santa Bárbara",BI,,187961,santa.barbara,CL-BI-SantaBarbara,,
1622274,152,28000,"Santa Juana",BI,,187974,santa.juana,CL-BI-SantaJuana,,
1614638,152,27100,Talcahuano,BI,,41997,talcahuano,CL-BI-Talcahuano,,
1656147,152,30300,Tirúa,BI,,188183,tirua,CL-BI-Tirua,,
1558890,152,13400,Tomé,BI,,200934,tome,CL-BI-Tome,,
1659003,152,30800,Tucapel,BI,,200965,tucapel,CL-BI-Tucapel,,
1622204,152,27800,Yumbel,BI,,201050,yumbel,CL-BI-Yumbel,,
