osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1589155,152,26000,Andacollo,CO,,3602,andacollo,CL-CO-Andacollo,,
1591198,152,26600,Canela,CO,,3735,canela,CL-CO-Canela,,
1589896,152,26400,Combarbalá,CO,,3850,combarbala,CL-CO-Combarbala,,
1588926,152,25800,Coquimbo,CO,,3871,coquimbo,CL-CO-Coquimbo,,
1591199,152,26700,Illapel,CO,,14434,illapel,CL-CO-Illapel,,
1588846,152,25500,"La Higuera",CO,,14462,la.higuera,CL-CO-LaHiguera,,
1588927,152,25900,"La Serena",CO,,14467,la.serena,CL-CO-LaSerena,,
231954,152,20800,"Los Vilos",CO,,16908,los.vilos,CL-CO-LosVilos,,
1589854,152,26100,"Monte Patria",CO,,51034,monte.patria,CL-CO-MontePatria,,
1590028,152,26500,Ovalle,CO,,51060,ovalle,CL-CO-Ovalle,,
1588854,152,25700,Paihuano,CO,,51064,paihuano,CL-CO-Paihuano,,
1589895,152,26300,Punitaqui,CO,,51598,punitaqui,CL-CO-Punitaqui,,
1589856,152,26200,"Río Hurtado",CO,,56128,rio.hurtado,CL-CO-RioHurtado,,
231952,152,20600,Salamanca,CO,,56134,salamanca,CL-CO-Salamanca,,
1588848,152,25600,Vicuña,CO,,201007,vicuna,CL-CO-Vicuna,,
