osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3078203,152,34300,Ancud,LL,,3597,ancud,CL-LL-Ancud,,
1798800,152,32900,Calbuco,LL,,3691,calbuco,CL-LL-Calbuco,,
3076091,152,28500,Castro,LL,,23660569,castro,CL-LL-Castro,,
1820338,152,33400,Chaitén,LL,,3759,chaiten,CL-LL-Chaiten,,
3076208,152,28600,Chonchi,LL,,3788,chonchi,CL-LL-Chonchi,,
1798828,152,33100,Cochamó,LL,,3797,cochamo,CL-LL-Cochamo,,
3078354,152,34500,"Curaco de Vélez",LL,,3888,curaco.velez,CL-LL-CuracoVelez,,
3077688,152,34200,Dalcahue,LL,,13031,dalcahue,CL-LL-Dalcahue,,
1796332,152,15800,Fresia,LL,,13052,fresia,CL-LL-Fresia,,
1796410,152,15900,Frutillar,LL,,13058,frutillar,CL-LL-Frutillar,,
3067460,152,28400,Futaleufú,LL,,13060,futaleufu,CL-LL-Futaleufu,,
1820318,152,33300,Hualaihué,LL,,13072,hualaihue,CL-LL-Hualaihue,,
1798791,152,16100,Llanquihue,LL,,14500,llanquihue,CL-LL-Llanquihue,,
1798792,152,16200,"Los Muermos",LL,,16906,los.muermos,CL-LL-LosMuermos,,
1798790,152,16000,Maullín,LL,,16927,maullin,CL-LL-Maullin,,
1794711,152,15200,Osorno,LL,,51059,osorno,CL-LL-Osorno,,
3067455,152,28300,Palena,LL,,51073,palena,CL-LL-Palena,,
1798806,152,33000,"Puerto Montt",LL,,36214,puerto.montt,CL-LL-PuertoMontt,,
1795768,152,15400,"Puerto Octay",LL,,51595,puerto.octay,CL-LL-PuertoOctay,,
1798888,152,33200,"Puerto Varas",LL,,51596,puerto.varas,CL-LL-PuertoVaras,,
3078387,152,18300,Puqueldón,LL,,2118779,puqueldon,CL-LL-Puqueldon,,
1795811,152,15700,Purranque,LL,,51601,purranque,CL-LL-Purranque,,
1795049,152,15300,Puyehue,LL,,15084,puyehue,CL-LL-Puyehue,,
3076728,152,34100,Queilén,LL,,51607,queilen,CL-LL-Queilen,,
3076644,152,28700,Quellón,LL,,51608,quellon,CL-LL-Quellon,,
3078348,152,34400,Quemchi,LL,,51609,quemchi,CL-LL-Quemchi,,
3078364,152,32200,Quinchao,LL,,56111,quinchao,CL-LL-Quinchao,,
1795795,152,15500,"Río Negro",LL,,56130,rio.negro,CL-LL-RioNegro,,
1791817,152,15100,"San Juan de la Costa",LL,,187856,san.juan.la.costa,CL-LL-SanJuanLaCosta,,
1791802,152,15000,"San Pablo",LL,,187873,san.pablo,CL-LL-SanPablo,,
