osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
255374,152,23000,Cauquenes,ML,,3749,cauquenes,CL-ML-Cauquenes,,
296342,152,4400,Chanco,ML,,3762,chanco,CL-ML-Chanco,,
255307,152,22300,Colbún,ML,,3836,colbun,CL-ML-Colbun,,
296369,152,4600,Constitución,ML,,3862,constitucion,CL-ML-Constitucion,,
252836,152,21800,Curepto,ML,,13026,curepto,CL-ML-Curepto,,
544819,152,7700,Curicó,ML,,13030,curico,CL-ML-Curico,,
296368,152,4500,Empedrado,ML,,13042,empedrado,CL-ML-Empedrado,,
252814,152,2300,Hualañé,ML,,13074,hualane,CL-ML-Hualane,,
252837,152,21900,Licantén,ML,,14490,licanten,CL-ML-Licanten,,
255309,152,22500,Linares,ML,,14494,linares,CL-ML-Linares,,
255308,152,22400,Longaví,ML,,16901,longavi,CL-ML-Longavi,,
541831,152,7300,Maule,ML,,16926,maule,CL-ML-Maule,,
541828,152,6900,Molina,ML,,51033,molina,CL-ML-Molina,,
255306,152,22200,Parral,ML,,51083,parral,CL-ML-Parral,,
541799,152,6700,Pelarco,ML,,51085,pelarco,CL-ML-Pelarco,,
296293,152,4000,Pelluhue,ML,,51086,pelluhue,CL-ML-Pelluhue,,
541830,152,7100,Pencahue,ML,,51091,pencahue,CL-ML-Pencahue,,
252815,152,21500,Rauco,ML,,56116,rauco,CL-ML-Rauco,,
255333,152,22600,Retiro,ML,,56122,retiro,CL-ML-Retiro,,
544818,152,7600,Romeral,ML,,56124,romeral,CL-ML-Romeral,,
544839,152,7800,"Río Claro",ML,,56127,rio.claro,CL-ML-RioClaro,,
541829,152,7000,"Sagrada Familia",ML,,56133,sagrada.familia,CL-ML-SagradaFamilia,,
546213,152,8100,"San Clemente",ML,,56138,san.clemente,CL-ML-SanClemente,,
541848,152,7400,"San Javier",ML,,187831,san.javier,CL-ML-SanJavier,,
541816,152,6800,"San Rafael",ML,,187898,san.rafael,CL-ML-SanRafael,,
541797,152,6600,Talca,ML,,4469,talca,CL-ML-Talca,,
544817,152,7500,Teno,ML,,2383688,teno,CL-ML-Teno,,
252792,152,2000,Vichuquén,ML,,200992,vichuquen,CL-ML-Vichuquen,,
545904,152,7900,"Villa Alegre",ML,,201015,villa.alegre,CL-ML-VillaAlegre,,
545905,152,8000,"Yerbas Buenas",ML,,201046,yerbas.buenas,CL-ML-YerbasBuenas,,
