osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1597490,152,26800,Bulnes,NB,,3663,bulnes,CL-NB-Bulnes,,
255340,152,22900,Chillán,NB,,3774,chillan,CL-NB-Chillan,,
269390,152,2800,"Chillán Viejo",NB,,3779,chillan.viejo,CL-NB-ChillanViejo,,
296294,152,4100,Cobquecura,NB,,3796,cobquecura,CL-NB-Cobquecura,,
1558627,152,23900,Coelemu,NB,,3807,coelemu,CL-NB-Coelemu,,
255295,152,22000,Coihueco,NB,,3814,coihueco,CL-NB-Coihueco,,
1560012,152,13500,"El Carmen",NB,,17629903,el.carmen,CL-NB-ElCarmen,,
296296,152,4300,Ninhue,NB,,51048,ninhue,CL-NB-Ninhue,,
1652065,152,29300,Pemuco,NB,,51090,pemuco,CL-NB-Pemuco,,
269309,152,2600,Pinto,NB,,51106,pinto,CL-NB-Pinto,,
1558832,152,13200,Portezuelo,NB,,51119,portezuelo,CL-NB-Portezuelo,,
1597510,152,26900,Quillón,NB,,56109,quillon,CL-NB-Quillon,,
296295,152,4200,Quirihue,NB,,56115,quirihue,CL-NB-Quirihue,,
1558833,152,13300,Ránquil,NB,,56125,ranquil,CL-NB-Ranquil,,
255339,152,22800,"San Carlos",NB,,6118518,san.carlos,CL-NB-SanCarlos,,
255296,152,22100,"San Fabián",NB,,187795,san.fabian,CL-NB-SanFabian,,
269388,152,2700,"San Ignacio",NB,,20022194,san.ignacio,CL-NB-SanIgnacio,,
1558759,152,24000,"San Nicolás",NB,,187866,san.nicolas,CL-NB-SanNicolas,,
1558531,152,23800,Treguaco,NB,,200963,treguaco,CL-NB-Treguaco,,
1652478,152,29600,Yungay,NB,,201056,yungay,CL-NB-Yungay,,
255335,152,22700,Ñiquén,NB,,201070,niquen,CL-NB-Niquen,,
