osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
296844,152,5800,Algarrobo,VS,,2206,algarrobo,CL-VS-Algarrobo,,
113204,152,3300,Cabildo,VS,,3668,cabildo,CL-VS-Cabildo,,
176529,152,19600,"Calle Larga",VS,,3728,calle.larga,CL-VS-CalleLarga,,
296823,152,4900,Cartagena,VS,,3738,cartagena,CL-VS-Cartagena,,
112129,152,1300,Casablanca,VS,,3742,casablanca,CL-VS-Casablanca,,
113227,152,3400,Catemu,VS,,3747,catemu,CL-VS-Catemu,,
110722,152,900,Concón,VS,,3860,concon,CL-VS-Concon,,
296843,152,5700,"El Quisco",VS,,13040,el.quisco,CL-VS-ElQuisco,,
296841,152,5300,"El Tabo",VS,,13041,el.tabo,CL-VS-ElTabo,,
175918,152,18900,Hijuelas,VS,,13071,hijuelas,CL-VS-Hijuelas,,
1773333,152,13800,"Juan Fernández",VS,,14454,juan.fernandez,CL-VS-JuanFernandez,,
113226,152,2500,"La Calera",VS,,3713,la.calera,CL-VS-LaCalera,,
113197,152,2400,"La Cruz",VS,,14457,la.cruz,CL-VS-LaCruz,,
113201,152,3100,"La Ligua",VS,,14463,la.ligua,CL-VS-LaLigua,,
113178,152,1600,Limache,VS,,14493,limache,CL-VS-Limache,,
175943,152,19100,Llay-Llay,VS,,14498,llay.llay,CL-VS-LlayLlay,,
166557,152,13100,"Los Andes",VS,,16903,los.andes,CL-VS-LosAndes,,
113199,152,3000,Nogales,VS,,51049,nogales,CL-VS-Nogales,,
113185,152,1800,Olmué,VS,,51058,olmue,CL-VS-Olmue,,
175944,152,19200,Panquehue,VS,,51078,panquehue,CL-VS-Panquehue,,
113203,152,3200,Papudo,VS,,51079,papudo,CL-VS-Papudo,,
231953,152,20700,Petorca,VS,,51096,petorca,CL-VS-Petorca,,
110710,152,600,Puchuncaví,VS,,51588,puchuncavi,CL-VS-Puchuncavi,,
176538,152,19700,Putaendo,VS,,51604,putaendo,CL-VS-Putaendo,,
113196,152,2200,Quillota,VS,,56108,quillota,CL-VS-Quillota,,
110807,152,1100,Quilpué,VS,,56110,quilpue,CL-VS-Quilpue,,
110719,152,800,Quintero,VS,,56114,quintero,CL-VS-Quintero,,
1773341,152,13900,"Rapa Nui",VS,,721369,rapa.nui,CL-VS-RapaNui,,
175949,152,19300,Rinconada,VS,,56123,rinconada,CL-VS-Rinconada,,
296816,152,4800,"San Antonio",VS,,56135,san.antonio,CL-VS-SanAntonio,,
231879,152,20300,"San Esteban",VS,,187784,san.esteban,CL-VS-SanEsteban,,
176528,152,19500,"San Felipe",VS,,187802,san.felipe,CL-VS-SanFelipe,,
231949,152,20500,"Santa María",VS,,187991,santa.maria,CL-VS-SantaMaria,,
296814,152,4700,"Santo Domingo",VS,,188011,santo.domingo,CL-VS-SantoDomingo,,
110808,152,1200,Valparaíso,VS,,33986,valparaiso,CL-VS-Valparaiso,,
112799,152,1500,"Villa Alemana",VS,,174744,villa.alemana,CL-VS-VillaAlemana,,
110804,152,1000,"Viña del Mar",VS,,184345,vina.mar,CL-VS-VinaMar,,
110713,152,700,Zapallar,VS,,201064,zapallar,CL-VS-Zapallar,,
